ABLA|37.14114,-2.780104
ESTABLES|41.00653,-2.024187
ESTRIEGANA|41.05771,-2.523945
FONTANAR|40.72714,-3.177209
FUEMBELLIDA|40.75549,-1.99897
FUENCEMILLAN|40.92276,-3.100931
FUENTELAHIGUERA DE ALBATAGES|40.78633,-3.30959
FUENTELENCINA|40.51715,-2.880722
FUENTELSAZ|41.0742,-1.830627
FUENTELVIEJO|40.52599,-2.983674
FUENTENOVILLA|40.36467,-3.094111
GAJANEJOS|40.84064,-2.892307
GALAPAGOS|40.69532,-3.338467
GALVE DE SORBE|41.22248,-3.183245
GASCUEÑA DE BORNOVA|41.14193,-3.019817
GUADALAJARA|40.62981,-3.166493
HENCHE|40.71437,-2.707037
HERAS DE AYUSO|40.791,-3.098835
HERRERIA|40.88811,-1.960182
HIENDELAENCINA|41.08424,-3.003786
HIJES|41.25117,-2.999697
HITA|40.82486,-3.049552
HOMBRADOS|40.80139,-1.685385
HONTOBA|40.45571,-3.041634
HORCHE|40.5683,-3.061644
HORTEZUELA DE OCEN|40.95222,-2.415771
HUERCE (LA)|41.15318,-3.16995
HUERMECES DEL CERRO|41.05323,-2.796326
HUERTAHERNANDO|40.82372,-2.286627
HUEVA|40.46245,-2.960818
HUMANES|40.82745,-3.155397
ILLANA|40.18337,-2.910629
INIESTOLA|40.99371,-2.370169
INVIERNAS (LAS)|40.87207,-2.66889
IRUESTE|40.61166,-2.890399
JADRAQUE|40.92616,-2.925027
JIRUEQUE|40.96425,-2.902856
LEDANCA|40.86851,-2.843731
LORANCA DE TAJUÑA|40.4469,-3.113948
LUPIANA|40.61021,-3.054468
LUZAGA|40.97256,-2.445606
LUZON|41.02659,-2.277313
MAJAELRAYO|41.11357,-3.299494
MALAGA DEL FRESNO|40.78782,-3.247577
MALAGUILLA|40.82191,-3.257045
MANDAYONA|40.95653,-2.750973
MANTIEL|40.61952,-2.662719
MARANCHON|41.04764,-2.20504
MARCHAMALO|40.66821,-3.200962
MASEGOSO DE TAJUÑA|40.82501,-2.697101
MATARRUBIA|40.86689,-3.291975
MATILLAS|40.95211,-2.842353
MAZARETE|41.00115,-2.159138
MAZUECOS|40.26217,-3.012189
MEDRANDA|40.98389,-2.936468
MEGINA|40.63909,-1.869626
MEMBRILLERA|40.94657,-2.978674
MIEDES DE ATIENZA|41.2667,-2.964246
MIERLA (LA)|40.93756,-3.23648
MILLANA|40.5075,-2.570991
MILMARCOS|41.08623,-1.876277
MIÑOSA (LA)|41.17905,-2.93149
MIRABUENO|40.9441,-2.725224
MIRALRIO|40.88813,-2.941914
MOCHALES|41.09599,-2.014944
MOHERNANDO|40.80423,-3.173942
MOLINA DE ARAGON|40.84282,-1.882801
MONASTERIO|40.98498,-3.097235
MONDEJAR|40.32302,-3.115048
MONTARRON|40.91029,-3.116191
MORATILLA DE LOS MELEROS|40.50256,-2.9426
MORENILLA|40.78625,-1.707366
MUDUEX|40.83027,-2.958514
NAVAS DE JADRAQUE (LAS)|41.10451,-3.088184
NEGREDO|41.02698,-2.858656
OCENTEJO|40.77166,-2.39799
OLIVAR (EL)|40.6064,-2.750611
OLMEDA DE COBETA|40.85934,-2.182858
OLMEDA DE JADRAQUE (LA)|41.1263,-2.740615
ORDIAL (EL)|41.1282,-3.114783
OREA|40.5575,-1.727038
PALMACES DE JADRAQUE|41.05605,-2.910686
PARDOS|40.94779,-1.925148
PAREDES DE SIGÜENZA|41.24327,-2.733836
PAREJA|40.55681,-2.650441
PASTRANA|40.41794,-2.922605
PEDREGAL (EL)|40.78004,-1.570737
PEÑALEN|40.66584,-2.069259
PEÑALVER|40.57995,-2.888909
PERALEJOS DE LAS TRUCHAS|40.59257,-1.909166
PERALVECHE|40.61066,-2.449482
PINILLA DE JADRAQUE|41.02031,-2.943015
PINILLA DE MOLINA|40.6802,-1.880445
PIOZ|40.46357,-3.175737
PIQUERAS|40.66349,-1.72177
POBO DE DUEÑAS (EL)|40.7777,-1.649238
POVEDA DE LA SIERRA|40.6428,-2.02876
POZO DE ALMOGUERA|40.34271,-3.029402
POZO DE GUADALAJARA|40.49506,-3.182096
PRADENA DE ATIENZA|41.17169,-3.006566
PRADOS REDONDOS|40.78471,-1.794369
PUEBLA DE BELEÑA|40.8895,-3.2195
PUEBLA DE VALLES|40.92715,-3.30298
QUER|40.60794,-3.277798
REBOLLOSA DE JADRAQUE|41.08976,-2.841893
RECUENCO (EL)|40.61627,-2.339749
RENERA|40.49182,-3.016147
RETIENDAS|40.97091,-3.275091
RIBA DE SAELICES|40.91217,-2.297112
RILLO DE GALLO|40.86625,-1.937551
RIOFRIO DEL LLANO|41.13782,-2.824648
ROBLEDILLO DE MOHERNANDO|40.854,-3.234747
ROBLEDO DE CORPES|41.11815,-2.950481
ROMANILLOS DE ATIENZA|41.27492,-2.895931
ROMANONES|40.57064,-2.992985
RUEDA DE LA SIERRA|40.91821,-1.854492
SACECORBO|40.8327,-2.417238
SACEDON|40.48108,-2.733063
SAELICES DE LA SAL|40.90611,-2.324149
SALMERON|40.54482,-2.494124
SAN ANDRES DEL CONGOSTO|40.99974,-3.026757
SAN ANDRES DEL REY|40.63803,-2.81983
SANTIUSTE|41.08461,-2.809056
SAUCA|41.03068,-2.529474
SAYATON|40.37673,-2.851431
SELAS|40.95123,-2.103191
SEMILLAS|41.05933,-3.118647
SETILES|40.73423,-1.618372
SIENES|41.2002,-2.653532
SIGÜENZA|41.0696,-2.642236
SOLANILLOS DEL EXTREMO|40.75076,-2.698229
SOMOLINOS|41.24626,-3.059833
SOTILLO (EL)|40.88125,-2.633242
SOTODOSOS|40.92291,-2.391471
TAMAJON|41.00044,-3.248884
TARAGUDO|40.82277,-3.080854
TARAVILLA|40.69765,-1.96769
TARTANEDO|40.9934,-1.925651
TENDILLA|40.54422,-2.958995
TERZAGA|40.6949,-1.903321
TIERZO|40.74915,-1.93057
TOBA (LA)|41.00427,-2.981962
TORDELLEGO|40.72094,-1.669642
TORDELRABANO|41.21893,-2.757938
TORDESILOS|40.6705,-1.593102
TORIJA|40.74407,-3.030298
TORRE DEL BURGO|40.79575,-3.079441
TORRECUADRADA DE MOLINA|40.74963,-1.806776
TORRECUADRADILLA|40.85292,-2.531623
TORREJON DEL REY|40.64526,-3.337636
TORREMOCHA DE JADRAQUE|41.01921,-2.89966
TORREMOCHA DEL CAMPO|40.97788,-2.61857
TORREMOCHA DEL PINAR|40.88856,-2.045764
TORREMOCHUELA|40.76517,-1.841357
TORRUBIA|40.96577,-1.900333
TORTOLA DE HENARES|40.70661,-3.126269
TORTUERA|40.9715,-1.798782
TORTUERO|40.93563,-3.354188
TRAID|40.66844,-1.809895
TRIJUEQUE|40.77686,-2.995797
TRILLO|40.70134,-2.593588
UCEDA|40.84321,-3.461408
UJADOS|41.2352,-3.005702
UTANDE|40.84823,-2.928168
VALDARACHAS|40.51648,-3.126242
VALDEARENAS|40.80917,-2.991395
VALDEAVELLANO|40.66508,-2.969261
VALDEAVERUELO|40.63712,-3.315817
VALDECONCHA|40.45654,-2.875932
VALDEGRUDAS|40.71348,-3.016062
VALDELCUBO|41.22595,-2.675309
VALDENUÑO FERNANDEZ|40.7637,-3.378795
VALDEPEÑAS DE LA SIERRA|40.90821,-3.387443
VALDERREBOLLO|40.8103,-2.729513
VALDESOTOS|40.95744,-3.328386
VALFERMOSO DE TAJUÑA|40.61958,-2.953815
VALHERMOSO|40.78606,-1.961115
VALTABLADO DEL RIO|40.71436,-2.401744
VALVERDE DE LOS ARROYOS|41.1294,-3.233801
VIANA DE JADRAQUE|41.02615,-2.768869
VILLANUEVA DE ALCORON|40.67927,-2.252745
VILLANUEVA DE ARGECILLA|40.90212,-2.914652
VILLANUEVA DE LA TORRE|40.58433,-3.302191
VILLARES DE JADRAQUE|41.10213,-3.025622
VILLASECA DE HENARES|40.96057,-2.798212
VILLASECA DE UCEDA|40.82005,-3.352177
VILLEL DE MESA|41.12617,-1.989027
VIÑUELAS|40.79491,-3.34408
YEBES|40.53356,-3.111498
YEBRA|40.35676,-2.965323
YELAMOS DE ABAJO|40.63065,-2.856008
YELAMOS DE ARRIBA|40.63964,-2.843132
YUNQUERA DE HENARES|40.75522,-3.165951
YUNTA (LA)|40.91481,-1.683895
ZAOREJAS|40.76192,-2.202039
ZARZUELA DE JADRAQUE|41.06753,-3.042809
ZORITA DE LOS CANES|40.33144,-2.888904
AJOFRIN|39.71251,-3.982614
ALAMEDA DE LA SAGRA|40.01226,-3.796505
ALBARREAL DE TAJO|39.89769,-4.227978
ALCABON|40.00249,-4.369076
ALCAÑIZO|39.90467,-5.105713
ALCAUDETE DE LA JARA|39.79322,-4.870331
ALCOLEA DE TAJO|39.80831,-5.149076
ALDEA EN CABO|40.18369,-4.455605
ALDEANUEVA DE BARBARROYA|39.76223,-5.019921
ALDEANUEVA DE SAN BARTOLOME|39.63668,-5.111573
ALMENDRAL DE LA CAÑADA|40.18548,-4.739292
ALMONACID DE TOLEDO|39.75468,-3.85209
ALMOROX|40.23307,-4.391364
AÑOVER DE TAJO|39.98945,-3.764771
ARCICOLLAR|40.05508,-4.117677
ARGES|39.80597,-4.057286
AZUTAN|39.78576,-5.127171
BARCIENCE|39.98309,-4.233763
BARGAS|39.94163,-4.01897
BELVIS DE LA JARA|39.76008,-4.949282
BOROX|40.06972,-3.740191
BUENAVENTURA|40.17628,-4.849428
BURGUILLOS DE TOLEDO|39.79657,-3.992624
BURUJON|39.90132,-4.298384
CABAÑAS DE LA SAGRA|40.00811,-3.947354
CABAÑAS DE YEPES|39.88974,-3.53536
CABEZAMESADA|39.81621,-3.102188
CALERA Y CHOZAS|39.88144,-4.978609
CALERUELA|39.8748,-5.255383
CALZADA DE OROPESA|39.89803,-5.278959
CAMARENA|40.09217,-4.119881
CAMARENILLA|40.01769,-4.074731
CAMPILLO DE LA JARA (EL)|39.58957,-5.054873
CAMUÑAS|39.42896,-3.459021
CARDIEL DE LOS MONTES|40.06345,-4.656812
CARMENA|39.95778,-4.401387
CARPIO DE TAJO (EL)|39.88752,-4.45466
CARRANQUE|40.1697,-3.901091
CARRICHES|39.96407,-4.456778
CASAR DE ESCALONA (EL)|40.04669,-4.523818
CASARRUBIOS DEL MONTE|40.18575,-4.0358
CASASBUENAS|39.76075,-4.12657
CASTILLO DE BAYUELA|40.10114,-4.685131
CAZALEGAS|40.01085,-4.67746
CEBOLLA|39.9479,-4.569388
CEDILLO DEL CONDADO|40.1137,-3.922378
CERRALBOS (LOS)|39.9848,-4.568843
CERVERA DE LOS MONTES|40.05247,-4.810708
CHOZAS DE CANALES|40.09974,-4.041364
CHUECA|39.7324,-3.942378
CIRUELOS|39.93629,-3.61703
COBEJA|40.02474,-3.857
COBISA|39.80434,-4.024558
CONSUEGRA|39.46046,-3.60672
CORRAL DE ALMAGUER|39.76015,-3.166829
CUERVA|39.66404,-4.211058
DOMINGO PEREZ|39.97594,-4.505118
DOSBARRIOS|39.88408,-3.476729
ERUSTES|39.95658,-4.497182
ESCALONA|40.1686,-4.403674
ESCALONILLA|39.92519,-4.348843
ESPINOSO DEL REY|39.65293,-4.783727
ESQUIVIAS|40.10413,-3.77008
ESTRELLA (LA)|39.68958,-5.093503
FUENSALIDA|40.05297,-4.209178
GALVEZ|39.70341,-4.274498
GARCIOTUM|40.09929,-4.645718
GERINDOTE|39.96661,-4.303091
GUADAMUR|39.81336,-4.147479
GUARDIA (LA)|39.78557,-3.477073
HERENCIAS (LAS)|39.86949,-4.920238
HERRERUELA DE OROPESA|39.8897,-5.242633
HINOJOSA DE SAN VICENTE|40.10402,-4.724235
HONTANAR|39.6122,-4.49834
HORMIGOS|40.09836,-4.445142
HUECAS|40.01184,-4.195808
HUERTA DE VALDECARABANOS|39.86433,-3.611917
IGLESUELA (LA)|40.23342,-4.750336
ILLAN DE VACAS|39.97048,-4.556459
ILLESCAS|40.12416,-3.849206
LAGARTERA|39.90598,-5.20118
LAYOS|39.77677,-4.064173
LILLO|39.72131,-3.305534
LOMINCHAR|40.08976,-3.96732
LUCILLOS|39.98657,-4.612792
MADRIDEJOS|39.46688,-3.523135
MAGAN|39.95749,-3.930584
MALPICA DE TAJO|39.89419,-4.546063
MANZANEQUE|39.63566,-3.791711
MAQUEDA|40.06594,-4.369346
MARJALIZA|39.56305,-3.935732
MARRUPE|40.09016,-4.793577
MASCARAQUE|39.71626,-3.81166
MATA (LA)|39.94268,-4.43835
MAZARAMBROZ|39.69421,-4.021279
MEJORADA|40.01009,-4.881894
MENASALBAS|39.64199,-4.28475
MENTRIDA|40.23759,-4.190963
MESEGAR DE TAJO|39.92544,-4.502378
MIGUEL ESTEBAN|39.52595,-3.075709
MOCEJON|39.93911,-3.914589
MOHEDAS DE LA JARA|39.60504,-5.143276
MONTEARAGON|39.96447,-4.632734
MONTESCLAROS|40.10761,-4.938467
MORA|39.68426,-3.773487
NAMBROCA|39.79691,-3.943745
NAVA DE RICOMALILLO (LA)|39.65143,-4.990208
NAVAHERMOSA|39.63567,-4.469614
NAVALCAN|40.06983,-5.092264
NAVALMORALEJO|39.73903,-5.142811
NAVALMORALES (LOS)|39.72627,-4.639593
NAVALUCILLOS (LOS)|39.666,-4.642211
NAVAMORCUENDE|40.15771,-4.785211
NOBLEJAS|39.98035,-3.439631
NOEZ|39.74052,-4.184025
NOMBELA|40.15645,-4.502765
NOVES|40.04707,-4.272139
NUMANCIA DE LA SAGRA|40.07499,-3.854127
NUÑO GOMEZ|40.11466,-4.620405
OCAÑA|39.96031,-3.499733
OLIAS DEL REY|39.94308,-3.986718
ONTIGOLA|40.00346,-3.572239
ORGAZ|39.64753,-3.874646
OROPESA|39.91914,-5.173415
OTERO|40.00064,-4.515163
PALOMEQUE|40.11916,-3.963299
PANTOJA|40.0439,-3.836551
PAREDES DE ESCALONA|40.20581,-4.428842
PARRILLAS|40.06106,-5.063858
PELAHUSTAN|40.17627,-4.596936
PEPINO|40.03209,-4.802787
POLAN|39.78912,-4.1682
PORTILLO DE TOLEDO|40.0639,-4.229168
PUEBLA DE ALMORADIEL (LA)|39.59846,-3.118667
PUEBLA DE MONTALBAN (LA)|39.8645,-4.358903
PUEBLANUEVA (LA)|39.91259,-4.679905
PUENTE DEL ARZOBISPO (EL)|39.80316,-5.172055
PUERTO DE SAN VICENTE|39.52443,-5.114378
PULGAR|39.69444,-4.152859
QUERO|39.50893,-3.24591
QUINTANAR DE LA ORDEN|39.59079,-3.042736
QUISMONDO|40.10527,-4.324175
REAL DE SAN VICENTE (EL)|40.13696,-4.690419
RECAS|40.05353,-3.992467
RETAMOSO DE LA JARA|39.74334,-4.755482
RIELVES|39.96081,-4.192946
ROBLEDO DEL MAZO|39.60931,-4.90525
ROMERAL (EL)|39.70677,-3.431007
SAN BARTOLOME DE LAS ABIERTAS|39.83086,-4.717926
SAN MARTIN DE MONTALBAN|39.70229,-4.389698
SAN MARTIN DE PUSA|39.7843,-4.632938
SAN PABLO DE LOS MONTES|39.53926,-4.331608
SAN ROMAN DE LOS MONTES|40.0689,-4.7318
SANTA ANA DE PUSA|39.76367,-4.715439
SANTA CRUZ DE LA ZARZA|39.98323,-3.185218
SANTA CRUZ DEL RETAMAR|40.11898,-4.241545
SANTA OLALLA|40.02426,-4.428266
SANTO DOMINGO-CAUDILLA|40.012,-4.326
SARTAJADA|40.21156,-4.791722
SEGURILLA|40.0226,-4.864883
SESEÑA|40.10443,-3.697418
SEVILLEJA DE LA JARA|39.57607,-4.962416
SONSECA|39.67621,-3.973744
SOTILLO DE LAS PALOMAS|40.10486,-4.82735
TALAVERA DE LA REINA|39.9598,-4.834432
TEMBLEQUE|39.69833,-3.503289
TOBOSO (EL)|39.51261,-2.99514
TOLEDO|39.85678,-4.024476
TORRALBA DE OROPESA|39.9325,-5.15255
TORRE DE ESTEBAN HAMBRAN (LA)|40.16903,-4.217501
TORRECILLA DE LA JARA|39.70379,-4.771836
TORRICO|39.83018,-5.227055
TORRIJOS|39.98128,-4.284419
TOTANES|39.71007,-4.226097
TURLEQUE|39.60171,-3.61375
UGENA|40.15582,-3.876736
URDA|39.41178,-3.716074
VALDEVERDEJA|39.79899,-5.246643
VALMOJADO|40.20454,-4.0909
VELADA|39.98071,-4.979115
VENTAS CON PEÑA AGUILERA (LAS)|39.61103,-4.230424
VENTAS DE RETAMOSA (LAS)|40.15533,-4.113943
VENTAS DE SAN JULIAN (LAS)|40.00876,-5.294204
VILLA DE DON FADRIQUE (LA)|39.61808,-3.2179
VILLACAÑAS|39.62555,-3.331701
VILLAFRANCA DE LOS CABALLEROS|39.42597,-3.359463
VILLALUENGA DE LA SAGRA|40.02728,-3.911721
VILLAMIEL DE TOLEDO|39.98216,-4.126972
VILLAMINAYA|39.71175,-3.871097
VILLAMUELAS|39.81754,-3.732577
VILLANUEVA DE ALCARDETE|39.6734,-3.012378
VILLANUEVA DE BOGAS|39.7242,-3.657612
VILLAREJO DE MONTALBAN|39.76913,-4.57295
VILLARRUBIA DE SANTIAGO|39.98702,-3.368908
VILLASECA DE LA SAGRA|39.96093,-3.882071
VILLASEQUILLA|39.87814,-3.73029
VILLATOBAS|39.90173,-3.32405
VISO DE SAN JUAN (EL)|40.14274,-3.920716
YEBENES (LOS)|39.58142,-3.870618
YELES|40.12237,-3.805358
YEPES|39.90262,-3.622163
YUNCLER|40.04062,-3.903411
YUNCLILLOS|40.02176,-3.990554
YUNCOS|40.0842,-3.875736
ADANERO|40.94591,-4.606659
ADRADA (LA)|40.29935,-4.634857
ALBORNOS|40.83842,-4.881355
ALDEANUEVA DE SANTA CRUZ|40.38176,-5.419435
ALDEASECA|41.04952,-4.817433
ALDEHUELA (LA)|40.79458,-4.763939
AMAVIDA|40.57338,-5.066842
ARENAL (EL)|40.26487,-5.087197
ARENAS DE SAN PEDRO|40.20872,-5.091141
AREVALILLO|40.58731,-5.370576
AREVALO|41.06443,-4.721681
AVEINTE|40.78237,-4.837343
AVELLANEDA|40.38853,-5.388019
AVILA|40.65642,-4.700323
BARCO DE AVILA (EL)|40.35711,-5.523521
BARRACO (EL)|40.47881,-4.638284
BARROMAN|41.06509,-4.931392
BECEDAS|40.40503,-5.634871
BECEDILLAS|40.53734,-5.324924
BERCIAL DE ZAPARDIEL|41.04642,-4.969301
BERLANAS (LAS)|40.80299,-4.760686
BERNUY-ZAPARDIEL|40.97598,-4.943945
BERROCALEJO DE ARAGONA|40.69409,-4.594394
BLASCOMILLAN|40.80138,-5.088691
BLASCONUÑO DE MATACABRAS|41.1234,-4.990178
BLASCOSANCHO|40.87781,-4.635879
BOHODON (EL)|40.91633,-4.730068
BOHOYO|40.31496,-5.441185
BONILLA DE LA SIERRA|40.53089,-5.264956
BRABOS|40.77847,-4.937897
BULARROS|40.72449,-4.865047
BURGOHONDO|40.41368,-4.786215
CABEZAS DE ALAMBRE|40.9404,-4.842389
CABEZAS DEL POZO|41.00153,-4.955734
CABEZAS DEL VILLAR|40.71527,-5.209755
CABIZUELA|40.90104,-4.800335
CANALES|41.00328,-4.900349
CANDELEDA|40.15509,-5.239784
CANTIVEROS|40.9527,-4.954445
CARDEÑOSA|40.74177,-4.745263
CARRERA (LA)|40.34768,-5.554624
CASAS DEL PUERTO|40.52906,-5.198162
CASASOLA|40.66874,-4.826726
CASAVIEJA|40.28105,-4.766778
CASILLAS|40.32428,-4.57237
CASTELLANOS DE ZAPARDIEL|41.08524,-4.909803
CEBREROS|40.45507,-4.464714
CEPEDA LA MORA|40.45761,-5.048178
CHAMARTIN|40.70156,-4.958119
CILLAN|40.70498,-4.978228
CISLA|40.96485,-5.012189
COLILLA (LA)|40.6473,-4.766521
COLLADO DE CONTRERAS|40.88665,-4.927863
COLLADO DEL MIRON|40.5528,-5.353886
CONSTANZANA|40.93854,-4.874399
CRESPOS|40.87341,-4.969728
CUEVAS DEL VALLE|40.29244,-5.010546
DIEGO DEL CARPIO|40.6625,-5.340833
DONJIMENO|40.95966,-4.845067
DONVIDAS|41.08922,-4.807941
ESPINOSA DE LOS CABALLEROS|41.00935,-4.650817
FLORES DE AVILA|40.93462,-5.078152
FONTIVEROS|40.9306,-4.967885
FRESNEDILLA|40.23157,-4.621687
FRESNO (EL)|40.61371,-4.757426
FUENTE EL SAUZ|40.97907,-4.910458
FUENTES DE AÑO|41.01748,-4.897614
GALLEGOS DE ALTAMIROS|40.70929,-4.899144
GALLEGOS DE SOBRINOS|40.71639,-5.111902
GARGANTA DEL VILLAR|40.45007,-5.105528
GAVILANES|40.27752,-4.851113
GEMUÑO|40.59291,-4.782099
GIL GARCIA|40.29817,-5.593304
GILBUENA|40.41522,-5.605305
GIMIALCON|40.87731,-5.122354
GOTARRENDURA|40.82674,-4.739214
GRANDES Y SAN MARTIN|40.75497,-4.957851
GUISANDO|40.22166,-5.139702
GUTIERRE-MUÑOZ|40.98325,-4.638578
HERNANSANCHO|40.85752,-4.729424
HERRADON DE PINARES|40.57639,-4.531389
HERREROS DE SUSO|40.80199,-5.038302
HIGUERA DE LAS DUEÑAS|40.23775,-4.601235
HIJA DE DIOS (LA)|40.53144,-4.965749
HORCAJADA (LA)|40.43745,-5.466582
HORCAJO DE LAS TORRES|41.0651,-5.090805
HORNILLO (EL)|40.24966,-5.104175
HOYO DE PINARES (EL)|40.50175,-4.422359
HOYOCASERO|40.39886,-4.975904
HOYORREDONDO|40.46219,-5.409976
HOYOS DE MIGUEL MUÑOZ|40.39286,-5.06712
HOYOS DEL COLLADO|40.35938,-5.201206
HOYOS DEL ESPINO|40.35726,-5.173525
HURTUMPASCUAL|40.69209,-5.112507
JUNCIANA|40.41014,-5.557674
LANGA|41.00771,-4.859519
LANZAHITA|40.20398,-4.937142
LLANOS DE TORMES (LOS)|40.32849,-5.500204
LOSAR DEL BARCO (EL)|40.39238,-5.539316
MADRIGAL DE LAS ALTAS TORRES|41.08944,-4.998767
MAELLO|40.81118,-4.5088
MALPARTIDA DE CORNEJA|40.52113,-5.351212
MAMBLAS|41.01953,-5.011209
MANCERA DE ARRIBA|40.79102,-5.147208
MANJABALAGO|40.6643,-5.076167
MARLIN|40.71137,-4.829782
MARTIHERRERO|40.67412,-4.781778
MARTINEZ|40.63086,-5.348361
MEDIANA DE VOLTOYA|40.7007,-4.563919
MEDINILLA|40.43935,-5.617625
MENGAMUÑOZ|40.50863,-5.005374
MESEGAR DE CORNEJA|40.50275,-5.301532
MIJARES|40.29747,-4.836677
MINGORRIA|40.75072,-4.665422
MIRON (EL)|40.53179,-5.405205
MIRONCILLO|40.55497,-4.825576
MIRUEÑA DE LOS INFANZONES|40.73749,-5.090713
MOMBELTRAN|40.25992,-5.01777
MONSALUPE|40.76863,-4.781026
MORALEJA DE MATACABRAS|41.10721,-4.957326
MUÑANA|40.59051,-5.014978
MUÑICO|40.70657,-5.026659
MUÑOGALINDO|40.6028,-4.900547
MUÑOGRANDE|40.82127,-4.922052
MUÑOMER DEL PECO|40.85851,-4.880385
MUÑOPEPE|40.63546,-4.818228
MUÑOSANCHO|40.92184,-5.035893
MUÑOTELLO|40.54302,-5.040777
NARRILLOS DEL ALAMO|40.56697,-5.466862
NARRILLOS DEL REBOLLAR|40.66433,-4.964759
NARROS DE SALDUEÑA|40.87524,-4.869534
NARROS DEL CASTILLO|40.85886,-5.059597
NARROS DEL PUERTO|40.54162,-4.991971
NAVA DE AREVALO|40.97843,-4.775988
NAVA DEL BARCO|40.29252,-5.540213
NAVACEPEDILLA DE CORNEJA|40.48594,-5.184513
NAVADIJOS|40.42566,-5.08356
NAVAESCURIAL|40.47199,-5.277838
NAVAHONDILLA|40.32642,-4.495955
NAVALACRUZ|40.44016,-4.932515
NAVALMORAL|40.45965,-4.7686
NAVALONGUILLA|40.27827,-5.501873
NAVALOSA|40.40134,-4.931455
NAVALPERAL DE PINARES|40.59454,-4.410842
NAVALPERAL DE TORMES|40.35288,-5.300556
NAVALUENGA|40.41096,-4.707685
NAVAQUESERA|40.42503,-4.908706
NAVARREDONDA DE GREDOS|40.36239,-5.13352
NAVARREDONDILLA|40.45349,-4.821207
NAVARREVISCA|40.36426,-4.89544
NAVAS DEL MARQUES (LAS)|40.60316,-4.326336
NAVATALGORDO|40.41558,-4.872152
NAVATEJARES|40.33571,-5.530873
NEILA DE SAN MIGUEL|40.42363,-5.651734
NIHARRA|40.5894,-4.839691
OJOS-ALBOS|40.7065,-4.51648
ORBITA|40.99851,-4.647501
OSO (EL)|40.84169,-4.770429
PADIERNOS|40.6211,-4.845123
PAJARES DE ADAJA|40.92365,-4.64045
PALACIOS DE GODA|41.1171,-4.783861
PAPATRIGO|40.86782,-4.834677
PARRAL (EL)|40.7973,-4.990441
PASCUALCOBO|40.65711,-5.276952
PEDRO-RODRIGUEZ|40.93684,-4.784845
PEDRO BERNARDO|40.24287,-4.914765
PEGUERINOS|40.62729,-4.232728
PEÑALBA DE AVILA|40.77176,-4.747359
PIEDRAHITA|40.46339,-5.328194
PIEDRALAVES|40.31736,-4.69809
POVEDA|40.5669,-5.079698
POYALES DEL HOYO|40.17289,-5.166279
POZANCO|40.8014,-4.66711
PRADOSEGAR|40.55083,-5.071213
PUERTO CASTILLA|40.28954,-5.629994
RASUEROS|41.0232,-5.074331
RIOCABADO|40.8301,-4.803108
RIOFRIO|40.54721,-4.777152
RIVILLA DE BARAJAS|40.9013,-4.987929
SALOBRAL|40.61165,-4.811044
SALVADIOS|40.877,-5.096365
SAN BARTOLOME DE BEJAR|40.40808,-5.662875
SAN BARTOLOME DE CORNEJA|40.49294,-5.385234
SAN BARTOLOME DE PINARES|40.54251,-4.539612
SAN ESTEBAN DE LOS PATOS|40.74583,-4.624889
SAN ESTEBAN DE ZAPARDIEL|41.093,-4.900951
SAN ESTEBAN DEL VALLE|40.27536,-4.980085
SAN GARCIA DE INGELMOS|40.76964,-5.116322
SAN JUAN DE GREDOS|40.36386,-5.237109
SAN JUAN DE LA ENCINILLA|40.82997,-4.838498
SAN JUAN DE LA NAVA|40.47903,-4.682141
SAN JUAN DEL MOLINILLO|40.45938,-4.818235
SAN JUAN DEL OLMO|40.6527,-5.049766
SAN LORENZO DE TORMES|40.37025,-5.48815
SAN MARTIN DE LA VEGA DEL ALBERCHE|40.43062,-5.156746
SAN MARTIN DEL PIMPOLLAR|40.36848,-5.055604
SAN MIGUEL DE CORNEJA|40.4868,-5.287448
SAN MIGUEL DE SERREZUELA|40.67038,-5.287457
SAN PASCUAL|40.88227,-4.756086
SAN PEDRO DEL ARROYO|40.80069,-4.870896
SAN VICENTE DE AREVALO|40.9677,-4.799979
SANCHIDRIAN|40.89338,-4.581257
SANCHORREJA|40.66479,-4.915372
SANTA CRUZ DE PINARES|40.54183,-4.57963
SANTA CRUZ DEL VALLE|40.25078,-5.003672
SANTA MARIA DE LOS CABALLEROS|40.38877,-5.451696
SANTA MARIA DEL ARROYO|40.59944,-4.922258
SANTA MARIA DEL BERROCAL|40.50954,-5.406222
SANTA MARIA DEL CUBILLO|40.7425,-4.472222
SANTA MARIA DEL TIETAR|40.30389,-4.555526
SANTIAGO DEL COLLADO|40.43356,-5.356558
SANTIAGO DEL TORMES|40.36666,-5.366667
SANTO DOMINGO DE LAS POSADAS|40.81218,-4.633421
SANTO TOME DE ZABARCOS|40.78664,-4.910215
SERRADA (LA)|40.63132,-4.792297
SERRANILLOS|40.33594,-4.911497
SIGERES|40.79939,-4.932576
SINLABAJOS|41.07727,-4.831933
SOLANA DE AVILA|40.31465,-5.615701
SOLANA DE RIOALMAR|40.73724,-5.010678
SOLOSANCHO|40.55363,-4.906135
SOTALBO|40.54151,-4.849229
SOTILLO DE LA ADRADA|40.29404,-4.585647
TIEMBLO (EL)|40.41628,-4.503831
TIÑOSILLOS|40.93408,-4.72748
TOLBAÑOS|40.75098,-4.581374
TORMELLAS|40.30432,-5.511548
